Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,Ca Wt%,Cu Wt%,K Wt%,Al Wt%,Cr Wt%,Fe Wt%,Ti Wt%,Zn Wt%
157,Sea aerosol (Cl),0.456993296,57082.0,63.57780099,23.23711514,0.0,0.0,0.0,0.0,13.18508238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Sea aerosol (Cl),0.410232688,54128.0,72.25502133,18.30754876,0.0,0.0,0.0,0.0,9.437431395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Sea aerosol (Cl),0.305400773,53830.0,67.80269146,21.07488662,0.0,0.0,0.0,0.0,11.12242267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Sea aerosol (Cl),0.41514583,54263.0,65.25527835,20.48021853,1.823103987,0.0,0.0,0.0,12.44139746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Ca rich,3.099315784,51742.0,84.99568105,0.0,0.0,0.0,0.0,0.0,0.953188539,14.05113339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Oxygen only,0.208790362,57931.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Oxigen+Cu(trace),0.308702499,56148.0,90.80406427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195934236,0.0,0.0,0.0,0.0,0.0,0.0
178,Sea aerosol (Cl),0.222881622,52551.0,68.85359287,19.64181364,0.0,0.0,0.0,0.0,11.50459126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Sea aerosol (Cl),0.34292979,62144.0,73.84772897,17.41097271,0.0,0.0,0.0,0.0,8.741299808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Sea aerosol (Cl),0.542219607,54577.0,67.48750806,17.81924814,2.737571485,0.0,0.0,0.0,11.95567846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Oxygen only,0.316806305,54028.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Oxygen only,0.201375306,55999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Oxygen only,0.29698591,56411.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Sea aerosol (Cl),0.246633374,53835.0,75.82107186,15.62119275,0.0,0.0,0.0,0.0,8.557733893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Sea aerosol (Cl),0.218285631,57297.0,69.04502511,21.55794501,0.0,0.0,0.0,0.0,9.397032857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Sillica mixtures ,0.433073972,59038.0,89.86724615,0.0,3.753036261,3.838085756,0.0,2.541624196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Sea aerosol (Cl),0.443483109,55112.0,65.51965475,21.68629467,0.0,0.0,0.0,0.0,12.79405057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Sea aerosol (Cl),0.256704154,56529.0,67.28804111,18.46776456,3.01436726,0.0,0.0,0.0,11.22982651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Sea aerosol (Cl),0.262561276,55287.0,70.03750801,18.72950792,0.0,0.0,0.0,0.0,11.23298481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Sea aerosol (Cl),0.327815249,54026.0,69.42227483,19.32789683,0.0,0.0,0.0,0.0,11.24982387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Mainly O,0.236133478,60885.0,97.17283249,0.0,0.0,0.0,0.0,0.0,2.827167697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Sea aerosol (Cl),0.374038031,57213.0,63.73906732,23.03887457,0.0,0.0,0.0,0.0,13.22205663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Sea aerosol (Cl),0.422408406,54334.0,67.51204133,19.73023564,0.0,0.0,0.0,0.0,12.75772154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Sea aerosol (Cl),0.407753918,56208.0,69.79144812,19.75240111,0.0,0.0,0.0,0.0,10.45614779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Ca rich,3.023145741,52548.0,84.10055637,0.0,0.0,0.0,0.0,0.0,1.383204944,14.5162344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Sea aerosol (Cl),0.474408767,55563.0,63.83863091,21.84252739,1.793768443,0.0,0.0,0.0,12.52508014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Sulfate aerosol,0.219397989,54955.0,92.14113355,0.0,0.0,0.0,0.0,7.858872414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Sea aerosol (Cl),0.53836514,56200.0,63.52606416,21.04674131,1.995771565,0.0,0.0,0.0,13.4314239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,Sulfate aerosol,0.254011856,59272.0,92.28484035,0.0,0.0,0.0,0.0,7.71516338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,Sea aerosol (Cl),0.572477869,53391.0,62.4943912,19.92063224,2.490067482,0.0,0.0,0.0,15.09491503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,Oxigen+Cu(trace),0.259989423,60528.0,87.47111559,0.0,0.0,0.0,0.0,4.39741537,0.0,0.0,8.131470531,0.0,0.0,0.0,0.0,0.0,0.0
268,Aged Sea Aerosol,0.37320991,62175.0,86.40520573,6.169269234,0.0,0.0,0.0,7.425519079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,Sea aerosol (Cl),0.375944085,56054.0,69.31012273,19.82770562,0.0,0.0,0.0,0.0,10.86216867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,No Classification,0.237336786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,No Classification,0.321621001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Sea aerosol (Cl),0.232981613,52835.0,67.89627671,18.14314425,2.350236475,0.0,0.0,0.0,11.61034331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Sea aerosol (Cl),0.323209263,52531.0,69.91768479,18.99152845,0.0,0.0,0.0,0.0,11.0907957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,No Classification,0.217051419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Sulfate aerosol,0.547794318,59975.0,92.49587655,0.0,0.0,0.0,0.0,7.504124194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Sea aerosol (Cl),0.378658518,52988.0,71.56114578,18.01169962,0.0,0.0,0.0,0.0,10.42715609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
