Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Fe Wt%,Cu Wt%,P Wt%,Mn Wt%,Zn Wt%,S Wt%,Cr Wt%
93,Sillica mixtures ,0.399325341,53510.0,88.37013841,0.0,0.0,0.0,5.988581106,0.0,0.0,0.0,0.0,5.641280487,0.0,0.0,0.0,0.0,0.0,0.0
94,Aluminosillicates,0.64034512,56423.0,82.25286603,3.136861697,0.0,4.798275605,8.173912019,0.0,0.0,1.638086885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Aluminosillicates,1.601574136,53905.0,79.28929925,0.0,1.984232105,4.506154731,8.849830925,0.0,0.0,3.63365598,0.0,1.736829802,0.0,0.0,0.0,0.0,0.0,0.0
96,Sillica mixtures ,0.638563906,56682.0,84.26947594,0.0,0.0,0.0,7.719546556,0.0,0.0,1.771050692,0.0,3.421963751,2.817962505,0.0,0.0,0.0,0.0,0.0
97,Sillica mixtures ,0.624131219,54729.0,81.6311419,4.000526667,0.0,3.533357382,9.707608074,0.0,0.0,1.127362624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Sillica mixtures ,0.688350321,57009.0,87.75642514,0.0,0.0,1.70888938,8.766458929,0.0,0.0,1.768220961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Aluminosillicates,1.07574592,52464.0,82.72707462,0.0,0.0,4.211264476,8.620990813,0.0,0.0,0.0,0.0,4.440663755,0.0,0.0,0.0,0.0,0.0,0.0
101,False Si ,0.489071664,54951.0,93.16445589,0.0,0.0,0.0,6.835544109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Aluminosillicates,0.643892766,57288.0,83.98171067,0.0,0.0,5.186445266,8.738224208,0.0,0.0,2.093613148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Sillica mixtures ,1.108082852,58349.0,80.27882576,2.057016455,1.628252864,0.852126721,7.713440806,0.0,0.0,1.861643977,0.915853027,4.692842811,0.0,0.0,0.0,0.0,0.0,0.0
104,Oxygen only,0.301861584,55866.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Sillica mixtures ,0.841701393,53845.0,80.57756424,2.640902251,1.597239822,2.031157911,7.873447239,0.0,0.0,1.464653015,0.0,3.815041482,0.0,0.0,0.0,0.0,0.0,0.0
106,Sillica mixtures ,0.40216755,54056.0,90.79601765,0.0,0.0,0.0,4.865244403,0.0,0.0,0.0,0.0,4.338737577,0.0,0.0,0.0,0.0,0.0,0.0
107,Sillica mixtures ,0.611223123,55585.0,81.67065978,0.0,3.049828112,0.0,8.698580414,0.0,0.0,2.997462824,0.0,3.58347334,0.0,0.0,0.0,0.0,0.0,0.0
