Id,Class,Subclass,Area (æmý),Aspect Ratio,Breadth (æm),ECD (æm),Shape,Stage X,Stage Y,Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Al Wt%,Al Wt% ?,Si Wt%,Si Wt% ?,Cl Wt%,Cl Wt% ?,K Wt%,K Wt% ?,Ca Wt%,Ca Wt% ?,Ti Wt%,Ti Wt% ?,Fe Wt%,Fe Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
56,Sillica mixtures ,,0.957192675,1.632206762,0.943279792,1.103963571,1.413149829,6.798456929,-11.45752713,52494,78.44826579,1.524278149,,,4.302060232,0.476940582,0.509705162,1.606630161,9.405149519,0.477462076,,,,,2.676544897,0.269952836,,,4.658277333,0.442032889,,,,,,,,,,,,
57,Sillica mixtures ,,0.66556201,1.849338578,0.717825755,0.92055411,1.240593662,6.793880033,-11.45479222,55210,81.00143075,1.397037413,,,2.529955469,0.376068032,2.508112788,1.402705256,7.245644182,0.398107851,,,,,1.963866688,0.224771397,0.740102911,0.216066116,4.010874778,0.378593896,,,,,,,,,,,,
58,Metallic Fe,,0.395401086,1.24998201,0.676772612,0.70953527,1.046734026,6.831850435,-11.46820432,53874,74.48573709,1.068909932,,,,,0,1.93897672,2.364217676,0.357797346,,,,,,,3.695027158,0.374063756,19.45502013,0.890780613,,,,,,,,,,,,
59,Sillica mixtures ,,0.912464046,1.595074481,0.90508039,1.07786145,1.279012758,6.822456646,-11.467092,60132,84.06700492,1.747342758,,,,,2.212241106,1.846591383,8.066980541,0.485479413,,,,,2.116049267,0.293739536,,,3.537719324,0.460801227,,,,,,,,,,,,
60,Sillica mixtures ,,0.85878969,1.225330744,0.976963069,1.045679202,1.156130374,6.841471631,-11.46098312,56767,79.79131937,1.534920465,5.537870899,0.657878909,,,1.726761274,1.60473343,11.9255811,0.511952722,,,,,1.018469129,0.210526539,,,,,,,,,,,,,,,,
61,Aluminosillicates,Si rich,5.696638276,1.412081074,2.80735323,2.693173802,1.795228203,6.838160329,-11.45718674,54490,75.86658597,1.028392278,,,2.945540473,0.267518731,2.834539115,0.997345056,10.45392603,0.373280328,,,,,2.97160726,0.181072438,0.513693038,0.138027116,4.414117336,0.284861051,,,,,,,,,,,,
62,Sillica mixtures ,,0.588628767,1.773571034,0.687916348,0.86571671,1.258472178,6.817893123,-11.45522057,59791,79.486835,0.71276119,,,5.701443925,0.412650686,,,8.892565221,0.378548331,,,,,4.189174995,0.263739703,,,1.72998216,0.296653807,,,,,,,,,,,,
63,Aluminosillicates,Si rich,2.728446411,2.075905195,1.332352187,1.863857791,1.44426813,6.808590473,-11.44281426,59065,74.41703677,1.192176808,2.05233898,0.465091364,,,2.934053354,1.100909151,9.202129394,0.385593344,,,0.97682979,0.15252505,0.707956078,0.14520589,1.622431353,0.198222138,8.087230474,0.415830547,,,,,,,,,,,,
64,Sillica mixtures ,,8.575372883,1.799081182,2.803433077,3.304315945,2.801808562,6.826485908,-11.44381507,55599,77.37885714,1.226745918,,,2.11149212,0.311131054,2.417709865,1.190378889,9.200326353,0.401787367,,,0.607759692,0.16214858,0.970779266,0.158450531,0.835772511,0.188384461,6.477303803,0.39884327,,,,,,,,,,,,
65,Sillica mixtures ,,0.118083582,1.379393754,0.358912877,0.387748226,1.153673002,6.809812832,-11.44145684,57190,81.48043752,1.640223712,,,,,,,6.485226005,0.77102026,,,,,,,,,7.339634746,0.919191632,4.694701359,1.292921416,,,,,,,,,,
66,Sillica mixtures ,,6.195809783,1.150731504,2.719901186,2.808691871,1.309175226,6.846684064,-11.45821398,62063,69.14500594,0.78766318,,,6.16659075,0.270409859,0.611263188,0.672840746,13.09857517,0.342456903,,,,,6.329157203,0.215722667,,,4.649403691,0.244050054,,,,,,,,,,,,
67,Aluminosillicates,Si rich,10.86190043,1.105116059,3.773899175,3.718844062,1.183745878,6.848443844,-11.45292109,55528,69.93488073,1.102516148,1.550628059,0.342758372,2.630529366,0.257166335,3.725346178,1.016354188,12.10590899,0.412779953,,,,,3.846189007,0.205963175,0.74023935,0.147212658,5.466270447,0.318075949,,,,,,,,,,,,
68,Metallic Fe,,0.899940029,1.719711594,0.820932916,1.070438804,1.132809249,6.85177883,-11.45083791,60137,75.38044453,0.81129102,,,1.805708744,0.308798277,,,1.363727916,0.196458935,,,,,,,9.356600046,0.378255942,12.09351346,0.510213431,,,,,,,,,,,,
69,Sillica mixtures ,,0.236167165,1.269201171,0.507579459,0.5483588,1.011859634,6.775149484,-11.42065023,58298,84.31968689,2.068567276,3.63801159,0.89518968,,,2.416740544,2.082677186,8.698415011,0.561711844,,,0.927132275,0.306751369,,,,,,,,,,,,,,,,,,
70,Metallic Fe,,1.014445321,1.402824344,0.987671917,1.136499846,1.106107697,6.794076257,-11.41339957,59733,77.80222297,0.697633764,,,6.130806357,0.466541527,,,,,,,,,,,,,16.06696844,0.55255862,,,,,,,,,,,,
