Id,Class,Area (µm²),Aspect Ratio,Breadth (µm),Direction (°),ECD (µm),Length (µm),Perimeter (µm),Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Si Wt%,Si Wt% ?,P Wt%,P Wt% ?,S Wt%,S Wt% ?,Cl Wt%,Cl Wt% ?,Ca Wt%,Ca Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
154,Sea aerosol (Cl),0.047774216,2.185292882,0.197523694,78.75,0.246633374,0.431647123,1.055523896,54018,72.9062438,1.330742892,17.69901365,1.191861089,,,,,,,,,9.394739568,0.609941874,,,,,,,,,,,,,,
155,Sea aerosol (Cl),0.11943554,1.68712735,0.321714567,118.125,0.389961604,0.542773444,1.360877271,54804,67.71230102,1.38188852,17.05823839,1.06156338,2.875733562,0.625118986,,,,,,,11.42929494,0.606984599,0.924432743,0.292147836,,,,,,,,,,,,
157,Sea aerosol (Cl),0.164024808,1.394630659,0.409670582,70.3125,0.456993296,0.571339154,1.527880577,57082,63.57780099,1.290922239,23.23711514,1.067035552,,,,,,,,,13.18508238,0.606197305,,,,,,,,,,,,,,
164,Sea aerosol (Cl),0.132175331,1.34395566,0.425115845,122.34375,0.410232688,0.571336846,1.770550048,54128,72.25502133,1.334695332,18.30754876,1.193246245,,,,,,,,,9.437431395,0.608496508,,,,,,,,,,,,,,
167,Sea aerosol (Cl),0.073253798,1.420125469,0.27675476,111.09375,0.305400773,0.393026483,0.995528706,53830,67.80269146,1.453394257,21.07488662,1.259661186,,,,,,,,,11.12242267,0.684176898,,,,,,,,,,,,,,
169,Sea aerosol (Cl),0.135360279,2.370990596,0.305964338,104.0625,0.41514583,0.725438567,1.688392752,54263,65.25527835,1.328148879,20.48021853,1.057255827,1.823103987,0.593648013,,,,,,,12.44139746,0.609226665,,,,,,,,,,,,,,
170,Ca rich,7.544344951,1.522029032,2.799420914,22.5,3.099315784,4.260799904,11.25728285,51742,84.99568105,0.515338965,,,,,,,,,,,0.953188539,0.1686943,14.05113339,0.477103889,,,,,,,,,,,,
171,Oxygen only,0.034238188,1.617746217,0.179576156,119.53125,0.208790362,0.290508647,0.683684201,57931,100,0.000727884,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Oxigen+Cu(trace),0.074846272,2.501338855,0.2325643,104.0625,0.308702499,0.581722121,1.323044188,56148,90.80406427,2.500351705,,,,,,,,,,,,,,,9.195934236,2.500351705,,,,,,,,,,
178,Sea aerosol (Cl),0.03901561,1.355256978,0.197523694,108.28125,0.222881622,0.267695365,0.699355177,52551,68.85359287,1.503458712,19.64181364,1.301867701,,,,,,,,,11.50459126,0.714599574,,,,,,,,,,,,,,
179,Sea aerosol (Cl),0.092363484,2.46548158,0.2280272,106.875,0.34292979,0.562196861,1.329535319,62144,73.84772897,1.392956451,17.41097271,1.266848762,,,,,,,,,8.741299808,0.616293494,,,,,,,,,,,,,,
182,Sea aerosol (Cl),0.230908711,1.873191797,0.481325044,70.3125,0.542219607,0.901614125,2.40073019,54577,67.48750806,1.342421304,17.81924814,1.054132637,2.737571485,0.636857701,,,,,,,11.95567846,0.611517765,,,,,,,,,,,,,,
184,Oxygen only,0.078827456,2.798498574,0.223199155,108.28125,0.316806305,0.624622518,1.347895009,54028,100,0.001370208,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Oxygen only,0.031849477,1.28502194,0.196405682,116.71875,0.201375306,0.25238561,0.645851118,55999,100,2.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Oxygen only,0.069272613,3.020571995,0.186833914,126.5625,0.29698591,0.56434529,1.273342546,56411,100,0.000935871,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,0.072457561,1.903439692,0.253311169,111.09375,0.303736452,0.482162533,1.206856226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,0.27788669,1.482381268,0.507918071,77.34375,0.594824615,0.752928234,2.028890496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,0.07006885,2.485286264,0.208738299,112.5,0.298687849,0.518774427,1.162532013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,0.041404321,1.491465341,0.197523694,73.125,0.229603176,0.294599744,0.737188259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,0.170394704,2.130167011,0.37395928,67.5,0.465782433,0.796595722,2.01321952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Sea aerosol (Cl),0.047774216,1.529767421,0.215898813,109.6875,0.246633374,0.330274971,0.812854424,53835,75.82107186,1.349627972,15.62119275,1.22776106,,,,,,,,,8.557733893,0.611423794,,,,,,,,,,,,,,
209,Sea aerosol (Cl),0.037423136,2.027542581,0.169306024,99.84375,0.218285631,0.343275172,0.797183448,57297,69.04502511,1.558648515,21.55794501,1.401427295,,,,,,,,,9.397032857,0.701693585,,,,,,,,,,,,,,
